Sample 205: No. iterations = 10, Error = 0.4211
Sample 206: No. iterations = 10, Error = 0.30844
Sample 207: No. iterations = 10, Error = 0.413171
Sample 208: No. iterations = 10, Error = 0.445423
Sample 209: No. iterations = 10, Error = 0.294502
Sample 210: No. iterations = 10, Error = 0.387305
Sample 211: No. iterations = 10, Error = 0.403378
Sample 212: No. iterations = 10, Error = 0.226167
Sample 213: No. iterations = 10, Error = 0.460249
Sample 214: No. iterations = 10, Error = 0.429731
Sample 215: No. iterations = 10, Error = 0.424275
Sample 216: No. iterations = 10, Error = 0.429134
Sample 217: No. iterations = 10, Error = 0.399123
Sample 218: No. iterations = 10, Error = 0.476918
Sample 219: No. iterations = 10, Error = 0.428659
Sample 220: No. iterations = 10, Error = 0.461064
Sample 221: No. iterations = 10, Error = 0.458723
Sample 222: No. iterations = 10, Error = 0.377915
Sample 223: No. iterations = 10, Error = 0.42609
Sample 224: No. iterations = 10, Error = 0.418106
Sample 225: No. iterations = 10, Error = 0.379184
Sample 226: No. iterations = 10, Error = 0.454251
Sample 227: No. iterations = 10, Error = 0.450293
Sample 228: No. iterations = 10, Error = 0.441969
Sample 229: No. iterations = 10, Error = 0.401017
Sample 230: No. iterations = 10, Error = 0.34926
Sample 231: No. iterations = 10, Error = 0.438639
Sample 232: No. iterations = 10, Error = 0.251494
Sample 233: No. iterations = 10, Error = 0.427715
Sample 234: No. iterations = 10, Error = 0.429998
Sample 235: No. iterations = 10, Error = 0.318763
Sample 236: No. iterations = 10, Error = 0.411471
Sample 237: No. iterations = 10, Error = 0.480783
Sample 238: No. iterations = 10, Error = 0.465124
Sample 239: No. iterations = 10, Error = 0.401872
Sample 240: No. iterations = 10, Error = 0.452005
Sample 241: No. iterations = 10, Error = 0.481536
Sample 242: No. iterations = 10, Error = 0.424718
Sample 243: No. iterations = 10, Error = 0.411239
Sample 244: No. iterations = 10, Error = 0.436285
Sample 245: No. iterations = 10, Error = 0.485216
Sample 246: No. iterations = 10, Error = 0.434783
Sample 247: No. iterations = 10, Error = 0.298105
Sample 248: No. iterations = 10, Error = 0.438288
Sample 249: No. iterations = 10, Error = 0.325513
Sample 250: No. iterations = 10, Error = 0.27392
Sample 251: No. iterations = 10, Error = 0.456514
Sample 252: No. iterations = 10, Error = 0.270764
Sample 253: No. iterations = 10, Error = 0.464329
Sample 254: No. iterations = 10, Error = 0.420603
Sample 255: No. iterations = 10, Error = 0.403823
Sample 256: No. iterations = 10, Error = 0.401245
Sample 257: No. iterations = 10, Error = 0.441733
Sample 258: No. iterations = 10, Error = 0.45651
Sample 259: No. iterations = 10, Error = 0.466219
Sample 260: No. iterations = 10, Error = 0.41913
Sample 261: No. iterations = 10, Error = 0.419771
Sample 262: No. iterations = 10, Error = 0.378061
Sample 263: No. iterations = 10, Error = 0.43011
Sample 264: No. iterations = 10, Error = 0.420194
Sample 265: No. iterations = 10, Error = 0.447461
Sample 266: No. iterations = 10, Error = 0.464242
Sample 267: No. iterations = 10, Error = 0.480607
Sample 268: No. iterations = 10, Error = 0.442941
Sample 269: No. iterations = 10, Error = 0.391649
Sample 270: No. iterations = 10, Error = 0.30484
Sample 271: No. iterations = 10, Error = 0.260754
Sample 272: No. iterations = 10, Error = 0.450649
Sample 273: No. iterations = 10, Error = 0.441633
Sample 274: No. iterations = 10, Error = 0.430418
Sample 275: No. iterations = 10, Error = 0.454916
Sample 276: No. iterations = 10, Error = 0.425064
Sample 277: No. iterations = 10, Error = 0.180369
Sample 278: No. iterations = 10, Error = 0.409066
Sample 279: No. iterations = 10, Error = 0.466482
Sample 280: No. iterations = 10, Error = 0.456748
Sample 281: No. iterations = 10, Error = 0.413965
Sample 282: No. iterations = 10, Error = 0.38136
Sample 283: No. iterations = 10, Error = 0.445776
Sample 284: No. iterations = 10, Error = 0.359671
Sample 285: No. iterations = 10, Error = 0.497402
Sample 286: No. iterations = 10, Error = 0.448032
Sample 287: No. iterations = 10, Error = 0.432392
Sample 288: No. iterations = 10, Error = 0.381264
Sample 289: No. iterations = 10, Error = 0.474174
Sample 290: No. iterations = 10, Error = 0.415285
Sample 291: No. iterations = 10, Error = 0.212967
Sample 292: No. iterations = 10, Error = 0.413995
Sample 293: No. iterations = 10, Error = 0.45402
Sample 294: No. iterations = 10, Error = 0.364667
Sample 295: No. iterations = 10, Error = 0.37417
Sample 296: No. iterations = 10, Error = 0.450505
Sample 297: No. iterations = 10, Error = 0.324147
Sample 298: No. iterations = 10, Error = 0.3564
Sample 299: No. iterations = 10, Error = 0.415332
Sample 300: No. iterations = 10, Error = 0.414268
Sample 301: No. iterations = 10, Error = 0.476161
Sample 302: No. iterations = 10, Error = 0.439422
Sample 303: No. iterations = 10, Error = 0.37951
Sample 304: No. iterations = 10, Error = 0.339838
Sample 305: No. iterations = 10, Error = 0.431909
Sample 306: No. iterations = 10, Error = 0.437007
Sample 307: No. iterations = 10, Error = 0.484998
Sample 308: No. iterations = 10, Error = 0.429426
Sample 309: No. iterations = 10, Error = 0.437306
Sample 310: No. iterations = 10, Error = 0.294017
Sample 311: No. iterations = 10, Error = 0.212453
Sample 312: No. iterations = 10, Error = 0.343768
Sample 313: No. iterations = 10, Error = 0.491544
Sample 314: No. iterations = 10, Error = 0.453736
Sample 315: No. iterations = 10, Error = 0.401947
Sample 316: No. iterations = 10, Error = 0.215909
Sample 317: No. iterations = 10, Error = 0.495026
Sample 318: No. iterations = 10, Error = 0.420956
Sample 319: No. iterations = 10, Error = 0.420888
Sample 320: No. iterations = 10, Error = 0.390326
Sample 321: No. iterations = 10, Error = 0.372421
Sample 322: No. iterations = 10, Error = 0.419952
Sample 323: No. iterations = 10, Error = 0.431249
Sample 324: No. iterations = 10, Error = 0.383914
Sample 325: No. iterations = 10, Error = 0.445599
Sample 326: No. iterations = 10, Error = 0.408188
Sample 327: No. iterations = 10, Error = 0.367688
Sample 328: No. iterations = 10, Error = 0.411086
Sample 329: No. iterations = 10, Error = 0.445833
Sample 330: No. iterations = 10, Error = 0.430811
Sample 331: No. iterations = 10, Error = 0.383668
Sample 332: No. iterations = 10, Error = 0.339759
Sample 333: No. iterations = 10, Error = 0.456782
Sample 334: No. iterations = 10, Error = 0.451415
Sample 335: No. iterations = 10, Error = 0.422785
Sample 336: No. iterations = 10, Error = 0.371793
Sample 337: No. iterations = 10, Error = 0.449888
Sample 338: No. iterations = 10, Error = 0.40621
Sample 339: No. iterations = 10, Error = 0.39446
Sample 340: No. iterations = 10, Error = 0.39189
Sample 341: No. iterations = 10, Error = 0.460648
Sample 342: No. iterations = 10, Error = 0.385732
Sample 343: No. iterations = 10, Error = 0.373391
Sample 344: No. iterations = 10, Error = 0.448935
Sample 345: No. iterations = 10, Error = 0.401445
Sample 346: No. iterations = 10, Error = 0.295435
Sample 347: No. iterations = 10, Error = 0.388567
Sample 348: No. iterations = 10, Error = 0.397269
Sample 349: No. iterations = 10, Error = 0.448994
Sample 350: No. iterations = 10, Error = 0.402463
Sample 351: No. iterations = 10, Error = 0.405079
Sample 352: No. iterations = 10, Error = 0.29378
Sample 353: No. iterations = 10, Error = 0.444766
Sample 354: No. iterations = 10, Error = 0.431627
Sample 355: No. iterations = 10, Error = 0.459377
Sample 356: No. iterations = 10, Error = 0.248431
Sample 357: No. iterations = 10, Error = 0.408614
Sample 358: No. iterations = 10, Error = 0.194501
Sample 359: No. iterations = 10, Error = 0.238734
Sample 360: No. iterations = 10, Error = 0.39553
Sample 361: No. iterations = 10, Error = 0.461573
Sample 362: No. iterations = 10, Error = 0.425916
Sample 363: No. iterations = 10, Error = 0.41342
Sample 364: No. iterations = 10, Error = 0.428507
Sample 365: No. iterations = 10, Error = 0.38588
Sample 366: No. iterations = 10, Error = 0.376096
Sample 367: No. iterations = 10, Error = 0.218372
Sample 368: No. iterations = 10, Error = 0.409457
Sample 369: No. iterations = 10, Error = 0.477245
Sample 370: No. iterations = 10, Error = 0.383332
Sample 371: No. iterations = 10, Error = 0.498914
Sample 372: No. iterations = 10, Error = 0.391184
Sample 373: No. iterations = 10, Error = 0.39881
Sample 374: No. iterations = 10, Error = 0.33335
Sample 375: No. iterations = 10, Error = 0.384497
Sample 376: No. iterations = 10, Error = 0.356421
Sample 377: No. iterations = 10, Error = 0.426094
Sample 378: No. iterations = 10, Error = 0.362427
Sample 379: No. iterations = 10, Error = 0.326726
Sample 380: No. iterations = 10, Error = 0.278673
Sample 381: No. iterations = 10, Error = 0.311139
Sample 382: No. iterations = 10, Error = 0.341801
Sample 383: No. iterations = 10, Error = 0.262939
Sample 384: No. iterations = 10, Error = 0.406232
Sample 385: No. iterations = 10, Error = 0.439791
Sample 386: No. iterations = 10, Error = 0.29484
Sample 387: No. iterations = 10, Error = 0.48532
Sample 388: No. iterations = 10, Error = 0.3538
Sample 389: No. iterations = 10, Error = 0.423729
Sample 390: No. iterations = 10, Error = 0.386085
Sample 391: No. iterations = 10, Error = 0.373286
Sample 392: No. iterations = 10, Error = 0.369658
Sample 393: No. iterations = 10, Error = 0.430867
Sample 394: No. iterations = 10, Error = 0.43475
Sample 395: No. iterations = 10, Error = 0.357784
Sample 396: No. iterations = 10, Error = 0.406244
Sample 397: No. iterations = 10, Error = 0.458355
Sample 398: No. iterations = 10, Error = 0.272569
Sample 399: No. iterations = 10, Error = 0.215519
Sample 400: No. iterations = 10, Error = 0.45558
Sample 401: No. iterations = 10, Error = 0.295123
Sample 402: No. iterations = 10, Error = 0.326506
Sample 403: No. iterations = 10, Error = 0.390419
Sample 404: No. iterations = 10, Error = 0.369475
Sample 405: No. iterations = 10, Error = 0.430763
Sample 406: No. iterations = 10, Error = 0.460841
Sample 407: No. iterations = 10, Error = 0.24805
Sample 408: No. iterations = 10, Error = 0.352317
Sample 409: No. iterations = 10, Error = 0.120973
Sample 410: No. iterations = 10, Error = 0.407668
Sample 411: No. iterations = 10, Error = 0.377758
Sample 412: No. iterations = 10, Error = 0.399119
Sample 413: No. iterations = 10, Error = 0.390888
Sample 414: No. iterations = 10, Error = 0.285343
Sample 415: No. iterations = 10, Error = 0.309405
Sample 416: No. iterations = 10, Error = 0.445084
Sample 417: No. iterations = 10, Error = 0.209823
Sample 418: No. iterations = 10, Error = 0.405023
Sample 419: No. iterations = 10, Error = 0.535007
Sample 420: No. iterations = 10, Error = 0.389904
Sample 421: No. iterations = 10, Error = 0.412086
Sample 422: No. iterations = 10, Error = 0.388311
Sample 423: No. iterations = 10, Error = 0.43839
Sample 424: No. iterations = 10, Error = 0.386178
Sample 425: No. iterations = 10, Error = 0.350374
Sample 426: No. iterations = 10, Error = 0.454872
Sample 427: No. iterations = 10, Error = 0.386787
Sample 428: No. iterations = 10, Error = 0.429394
Sample 429: No. iterations = 10, Error = 0.316609
Sample 430: No. iterations = 10, Error = 0.366669
Sample 431: No. iterations = 10, Error = 0.400129
Sample 432: No. iterations = 10, Error = 0.306875
Sample 433: No. iterations = 10, Error = 0.357642
Sample 434: No. iterations = 10, Error = 0.42914
Sample 435: No. iterations = 10, Error = 0.392253
Sample 436: No. iterations = 10, Error = 0.350913
Sample 437: No. iterations = 10, Error = 0.413998
Sample 438: No. iterations = 10, Error = 0.376089
Sample 439: No. iterations = 10, Error = 0.375217
Sample 440: No. iterations = 10, Error = 0.448695
Sample 441: No. iterations = 10, Error = 0.306321
Sample 442: No. iterations = 10, Error = 0.305505
Sample 443: No. iterations = 10, Error = 0.425047
Sample 444: No. iterations = 10, Error = 0.306976
Sample 445: No. iterations = 10, Error = 0.433828
Sample 446: No. iterations = 10, Error = 0.420455
Sample 447: No. iterations = 10, Error = 0.356951
Sample 448: No. iterations = 10, Error = 0.256495
Sample 449: No. iterations = 10, Error = 0.397617
Sample 450: No. iterations = 10, Error = 0.355135
Sample 451: No. iterations = 10, Error = 0.17959
Sample 452: No. iterations = 10, Error = 0.382789
Sample 453: No. iterations = 10, Error = 0.491948
Sample 454: No. iterations = 10, Error = 0.262477
Sample 455: No. iterations = 10, Error = 0.161443
Sample 456: No. iterations = 10, Error = 0.175044
Sample 457: No. iterations = 10, Error = 0.42126
Sample 458: No. iterations = 10, Error = 0.376388
Sample 459: No. iterations = 10, Error = 0.231937
Sample 460: No. iterations = 10, Error = 0.519579
Sample 461: No. iterations = 10, Error = 0.38728
Sample 462: No. iterations = 10, Error = 0.386436
Sample 463: No. iterations = 10, Error = 0.185525
Sample 464: No. iterations = 10, Error = 0.465987
Sample 465: No. iterations = 10, Error = 0.170215
Sample 466: No. iterations = 10, Error = 0.328104
Sample 467: No. iterations = 10, Error = 0.169912
Sample 468: No. iterations = 10, Error = 0.401678
Sample 469: No. iterations = 10, Error = 0.456021
Sample 470: No. iterations = 10, Error = 0.462407
Sample 471: No. iterations = 10, Error = 0.221467
Sample 472: No. iterations = 10, Error = 0.404295
Sample 473: No. iterations = 10, Error = 0.464902
Sample 474: No. iterations = 10, Error = 0.214872
Sample 475: No. iterations = 10, Error = 0.462171
Sample 476: No. iterations = 10, Error = 0.230038
Sample 477: No. iterations = 10, Error = 0.427527
Sample 478: No. iterations = 10, Error = 0.339652
Sample 479: No. iterations = 10, Error = 0.430643
Sample 480: No. iterations = 10, Error = 0.485365
Sample 481: No. iterations = 10, Error = 0.472117
Sample 482: No. iterations = 10, Error = 0.384893
Sample 483: No. iterations = 10, Error = 0.364592
Sample 484: No. iterations = 10, Error = 0.374557
